date,open,high,low,close,per_change,volume,traded_amount,symbol
2024-09-11,269.2,269.2,256.1,257.1,-2.61,45006.0,11782042.7,UNHPL
2024-09-12,257.0,275.0,254.0,275.0,6.96,44378.0,11788045.5,UNHPL
2024-09-15,278.5,286.0,267.0,270.0,-1.82,94698.0,26417324.7,UNHPL
2024-09-16,264.8,275.0,262.0,265.0,-1.85,36026.0,9580896.2,UNHPL
2024-09-18,270.0,270.3,259.0,259.1,-2.23,35565.0,9379330.5,UNHPL
2024-09-22,264.2,273.0,261.2,267.8,3.36,42615.0,11328383.4,UNHPL
2024-09-23,267.0,268.3,259.0,259.0,-3.29,32339.0,8490915.7,UNHPL
2024-09-24,264.0,264.1,251.1,252.1,-2.66,28911.0,7399210.7,UNHPL
2024-09-25,255.0,258.2,249.0,255.1,1.19,19963.0,5090010.2,UNHPL
2024-09-26,257.0,264.0,247.3,247.3,-3.06,26179.0,6691258.2,UNHPL
2024-09-29,245.0,248.9,235.0,239.0,-3.36,33667.0,8150395.2,UNHPL
2024-09-30,236.0,246.0,236.0,245.9,2.89,11584.0,2824974.4,UNHPL
2024-10-01,250.8,270.4,250.8,270.4,9.96,39120.0,10294445.4,UNHPL
2024-10-02,270.0,276.0,255.0,264.1,-2.33,44445.0,11861438.4,UNHPL
2024-10-06,264.1,276.0,263.0,276.0,4.51,28137.0,7628686.9,UNHPL
2024-10-07,276.0,281.5,276.0,278.0,0.72,24098.0,6713717.9,UNHPL
2024-10-08,274.1,277.0,268.0,272.0,-2.16,13965.0,3783712.3,UNHPL
2024-10-09,268.0,276.0,268.0,272.0,0.0,5115.0,1396290.0,UNHPL
2024-10-15,276.0,276.0,267.3,275.0,1.1,17677.0,4794606.9,UNHPL
2024-10-16,278.5,284.9,276.0,284.5,3.45,36006.0,10119258.6,UNHPL
2024-10-17,287.0,288.0,274.5,280.0,-1.58,38684.0,10873713.2,UNHPL
2024-10-20,276.0,278.0,269.0,269.1,-3.89,48012.0,13074859.5,UNHPL
2024-10-21,271.9,271.9,261.2,265.0,-1.52,37855.0,10022919.7,UNHPL
2024-10-22,260.0,269.0,255.3,266.0,0.38,14671.0,3889719.5,UNHPL
2024-10-23,266.0,269.0,263.0,266.0,0.0,19043.0,5054254.6,UNHPL
2024-10-24,262.0,267.0,258.0,262.2,-1.43,15105.0,3963686.5,UNHPL
2024-10-27,260.0,265.0,259.0,263.0,0.31,13541.0,3540830.9,UNHPL
2024-10-28,267.0,270.0,262.0,269.9,2.62,10164.0,2720672.7,UNHPL
2024-10-29,273.0,283.0,270.0,282.5,4.67,57596.0,15928146.2,UNHPL
2024-10-30,286.0,286.0,276.0,279.8,-0.96,31127.0,8729956.8,UNHPL
